geneID	logFC_1	meanTPM_1	adj.P.Val_1
CFP56_06232	1.097346286	4.146464463	0.06573325
CFP56_53768	0.459291246	12.44290499	0.204164129
CFP56_07217	1.702652946	209.3635256	0.000457453
CFP56_54821	0.209360901	88.80827318	0.513099356
CFP56_30318	-0.036438726	14.10944852	0.915634359
CFP56_15229	0.820073977	433.3786598	0.071266582
CFP56_48469	1.038089206	45.77535796	0.006510842
CFP56_15658	0.68654193	11.92864326	0.111523648
CFP56_58860	1.095497757	88.012022	0.004927021
CFP56_44792	0.362721043	159.5747316	0.27392733
CFP56_29395	1.093305992	121.7175121	0.004037515
CFP56_40634	0.85214937	3.436772467	0.064600118
CFP56_51074	1.409340427	237.2993474	0.000293786
CFP56_67438	0.421889725	107.2193187	0.23052408
CFP56_27396	0.256227917	18.16275722	0.402032863
CFP56_06352	1.904952999	268.5321472	2.20e-05
CFP56_51326	2.005022915	11.27159953	0.00522051
CFP56_44128	1.364915985	265.5684185	0.002178745
CFP56_45093	1.370369656	278.1801573	3.95e-05
CFP56_68493	0.773853801	121.3172182	0.053847945
CFP56_59054	1.678429149	202.4327625	0.001252015
CFP56_02121	1.252971488	76.87563728	0.004650196
CFP56_74871	1.200622174	116.1400036	0.003025089
CFP56_39999	0.09702602	117.0244436	0.683072894
CFP56_59114	1.650183668	620.6092976	1.31e-05
CFP56_31139	0.047594604	99.57449236	0.862109467
CFP56_40898	2.481272677	6.398309716	0.001100392
CFP56_05594	0.979126777	209.6248647	0.011003304
CFP56_25010	0.629292194	2.084847437	0.1312057
CFP56_48419	1.232323383	9.660423313	0.023689149
CFP56_36717	0.316632128	7.862860675	0.329452443
CFP56_15978	0.795367151	69.58110624	0.091622813
CFP56_33028	1.701366086	2.496857367	6.92e-06
CFP56_27891	0.467383444	130.5462898	0.194754834
CFP56_17908	0.793727038	150.6009136	0.059518815
CFP56_18185	0.994018041	498.5845507	0.064988317
CFP56_71721	0.750117445	54.76958026	0.095002869
CFP56_50604	1.317192436	15.29487415	1.17e-05
CFP56_40179	2.219798828	14.33649763	7.80e-14
CFP56_05479	1.499660577	199.4383365	1.83e-08
CFP56_42858	1.231204126	207.6560268	0.014704842
CFP56_16158	0.245837667	26.60576987	0.44252061
CFP56_41665	1.4167262	139.8708084	0.000585591
CFP56_23099	0.89669011	223.3455467	0.075146919
