geneID	logFC_2	meanTPM_2	adj.P.Val_2
CFP56_06232	0.501011119	5.846007209	0.205147522
CFP56_53768	0.512607718	16.80920262	0.217708374
CFP56_07217	0.931857105	420.6895851	0.035741883
CFP56_54821	0.004881136	127.112533	0.997146477
CFP56_30318	0.101700284	29.80143558	0.824931048
CFP56_15229	0.282305257	1290.170599	0.488181513
CFP56_48469	0.799624296	107.3339364	0.026529683
CFP56_15658	-0.240302717	44.08886912	0.552068908
CFP56_58860	0.804082878	204.5101067	0.028642497
CFP56_44792	0.534458058	221.9478002	0.214266498
CFP56_29395	0.769594896	233.6308062	0.035361343
CFP56_40634	0.761872021	4.213428737	0.087008251
CFP56_51074	1.170366145	433.4550835	0.001768066
CFP56_67438	0.205017578	181.1986442	0.622052339
CFP56_27396	0.272672757	37.99061471	0.497011591
CFP56_06352	1.35815468	619.1172083	0.001627135
CFP56_51326	1.587091867	13.22930976	0.015438498
CFP56_44128	0.901028111	492.6521301	0.030863763
CFP56_45093	0.832217851	614.6846377	0.009951437
CFP56_68493	0.405190529	266.6725671	0.297354986
CFP56_59054	1.024051924	409.3107569	0.029498308
CFP56_02121	0.963293499	178.9903448	0.020065103
CFP56_74871	0.949267521	225.8807849	0.014125549
CFP56_39999	0.068714953	192.411561	0.830817733
CFP56_59114	1.309824615	1376.045641	0.000346158
CFP56_31139	0.105153385	153.9307793	0.774526697
CFP56_40898	1.168689705	8.313310059	0.049025682
CFP56_05594	0.581785573	430.2804802	0.11591078
CFP56_25010	0.680357464	5.308147357	0.126082211
CFP56_48419	0.368516944	17.97126469	0.362139122
CFP56_36717	0.226691284	16.76965497	0.569113325
CFP56_15978	0.302358598	133.2839031	0.400706794
CFP56_33028	1.093505495	5.915940514	0.000408027
CFP56_27891	0.583966821	218.7956773	0.181781606
CFP56_17908	0.777108989	390.5273225	0.067621128
CFP56_18185	0.615708686	1354.123724	0.170571299
CFP56_71721	0.406535728	117.5875728	0.321464247
CFP56_50604	0.776129269	29.90009533	0.005566302
CFP56_40179	1.373246105	22.02981835	2.86e-07
CFP56_05479	0.783814245	393.2418421	0.003168347
CFP56_42858	0.947621664	379.7675177	0.044833055
CFP56_16158	0.085352519	55.87269396	0.860264664
CFP56_41665	0.710945885	272.2812076	0.065160377
CFP56_23099	0.600118716	433.8792375	0.178079082
